# ShogiBoardQ 2026.09.25 詰将棋局面生成
# 生成日時: 2026/09/26 15:32:18 JST
# エンジン: KomoringHeights 1.1.0 64ZEN2 (PostSearchLevel=MinLength)
# 目標手数: 9 手詰
# 局面数: 1000（重複なし）
# 攻め駒上限: 5 / 6 枚（生成バッチ別）
# 守り駒上限: 2 / 3 / 4 枚（玉以外、生成バッチ別）
# 配置範囲: 2 マス（玉中心、生成バッチ別）
# 探索時間/局面: 1 秒（生成バッチ別）
# 未使用駒: 玉方の持駒に追加
# 事前選別: 1 / 3 / 5 / 10 / 25 ms探索で9手詰を確認できた候補に限定（生成バッチ別）
# 玉位置の事前選別: 盤端からの距離 0 / 1 / 4 マス以内（4は制限なし、生成バッチ別）
# 余詰検査: 主手順の余詰を除外、最終手の複数解を許容
# 手順形式: SFEN moves <初手> <玉方応手> <3手目> <玉方応手> <5手目> <玉方応手> <7手目> <玉方応手> <詰めの手>
9/9/7R1/7+N1/8k/9/9/9/9 b r2b4g4s3n4l18p 1 moves 2d2e 1e1f 2e2f 1f1g 2f2g 1g1h 2g2h 1h1i 2h2i
9/9/9/9/9/9/+N1GR5/9/2kS5 b r2b3g3s3n4l18p 1 moves 7g7h 7i8i 6g8g 8i9i 9g9h 9i9h 7h8h 9h9i 8h8i
R8/1kP6/3+L5/1+N7/9/9/9/9/9 b r2b4g4s3n3l17p 1 moves 9a9c+ 8b8a 7b7a+ 8a7a 9c7c 7a8a 6c7b 8a9a 7b8b
9/9/7R1/7+L1/8k/9/9/9/9 b r2b4g4s4n3l18p 1 moves 2d2e 1e1f 2e2f 1f1g 2f2g 1g1h 2g2h 1h1i 2h2i
1g7/k8/2+S6/2S6/9/9/9/9/9 b P2r2b3g2s4n4l17p 1 moves 7d8c+ 9b9a P*9b 8a9b 8c9b 9a9b G*8c 9b9a 8c8b
9/9/9/9/9/7R1/8k/6G2/7L1 b r2b3g4s4n3l18p 1 moves 3h2g 1g1h 2g2h 1h1i 2f1f P*1g 1f1g P*1h 1g1h
9/9/9/7R1/8k/6+P2/9/9/9 b r2b4g4s4n4l17p 1 moves 3f2e 1e1f 2e2f 1f1g 2f2g 1g1h 2g2h 1h1i 2h2i
9/9/9/9/9/9/6S2/4B3+P/6k1B b L2r4g3s4n3l17p 1 moves 1i2h 3i2i 1h1i 2i3h L*3i 3h2g 5h4i P*3h 4i3h
9/kL7/1N7/1B+N6/9/9/9/9/9 b P2rb4g4s2n3l17p 1 moves P*9c 9b8b 8d7c+ 8b8a 9c9b+ 8a9b 8c9a+ 9b9c 7d8d
4k1+B2/9/2G2+L3/9/9/9/9/9/9 b 2rb3g4s4n3l18p 1 moves 3a4b 5a6a 4b5b 6a7a 5b6b 7a8a 6b7b 8a9a 7c8b
9/9/9/9/9/9/7RB/8g/6+L+lk b Srb3g3s4n2l18p 1 moves 2g2i 1h2i S*2h 1i1h 3i2i 1h2i G*3i 2i1h L*1i
9/9/1+R7/1G7/k8/9/9/9/9 b r2b3g4s4n4l18p 1 moves 8d8e 9e9f 8e8f 9f9g 8f8g 9g9h 8g8h 9h9i 8h8i
9/9/9/9/9/9/1SG6/2R6/k1B6 b rb3g3s4n4l18p 1 moves 7i8h 9i8i 7h7i 8i8h 7g7h 8h9g 7i9i P*9h 9i9h
5+L3/4k4/2+N1B4/9/9/9/9/9/9 b 2rb4g4s3n3l18p 1 moves 5c4b+ 5b6a 4b5a 6a7a 5a6b 7a8a 6b7b 8a9a 7c8b
9/9/9/9/9/4+R4/6S2/5Lk1+N/5+l3 b r2b4g3s3n2l18p 1 moves 1h2h 3h3i 2h2i 3i2i 5f2f P*2g 2f2g 2i3i 2g2h
9/9/9/1R7/k1G6/9/9/9/9 b r2b3g4s4n4l18p 1 moves 7e8e 9e9f 8e8f 9f9g 8f8g 9g9h 8g8h 9h9i 8h8i
6G1k/6P2/6+SB1/9/9/9/9/9/9 b 2rb3g3s4n4l17p 1 moves 3a2a 1a2a 3b3a+ 2a1a 3a2a 1a2a 2c3b+ 2a1a 3c2b
9/9/9/1R7/k8/2+P6/9/9/9 b r2b4g4s4n4l17p 1 moves 7f8e 9e9f 8e8f 9f9g 8f8g 9g9h 8g8h 9h9i 8h8i
7Sk/6B1B/6G2/9/9/9/9/9/9 b 2r3g3s4n4l18p 1 moves 3c2b 1a2b 1b2c+ 2b3a 3b4a+ 3a2a 4a3b 2a1a 3b2b
6+N1k/6P2/6L+B1/9/9/9/9/9/9 b 2rb4g4s3n3l17p 1 moves 3a2a 1a2a 3b3a+ 2a1a 3a2a 1a2a 3c3b+ 2a1a 3b2b
9/9/9/9/k8/2+P6/1LL6/9/9 b 2r2b4g4s4n2l17p 1 moves 7f8f 9e9d 8f8e 9d9c 8e8d 9c9b 8d8c 9b9a 8c8b
3p5/3k5/1P7/1+NBP5/9/9/9/9/9 b 2rb4g4s3n4l15p 1 moves 6d6c+ 6b7a 8c8b+ 7a8b 8d8c 8b8a 6c7b 8a9a 7b8b
9/9/9/B3G4/2k6/4B4/9/9/9 b G2r2g4s4n4l18p 1 moves G*7f 7e8d 7f8e 8d7c 5f8c+ 7c6b 8c6a 6b7c 9d7b+
9/9/9/9/9/9/nR7/pGG6/k8 b Sr2b2g3s3n4l17p 1 moves 8h9h 9i9h P*9i 9h9i S*8h 9i9h 8g9g 9h8i 7h7i
3k5/2P2B3/4B4/9/9/9/9/9/9 b 2r4g4s4n4l17p 1 moves 5c7a+ 6a5b 7a5c 5b4a 4b3a+ 4a5a 3a4b 5a6a 7b7a+
9/9/9/9/9/9/2S6/1BR6/gk7 b rb3g3s4n4l18p 1 moves 7h7i 8i9h 7i9i 9h8g 9i9g 8g7h G*6h 7h8i 9g9i
9/9/9/9/9/9/5BPS1/6+L1b/7kP b 2r4g3s4n3l16p 1 moves 2g1h 2i1i B*2h 1i1h 4g3f P*2g 3f2g 1h2i 3h3i
9/9/9/9/9/9/6b2/6+N2/6+Rgk b Grb2g4s3n4l18p 1 moves 3i2i 1i2i G*3i 2i1h G*2h 3g2h 3h2h 1h1i 3i2i
9/9/7R1/9/8k/9/9/9/9 b Gr2b3g4s4n4l18p 1 moves G*2e 1e1f 2e2f 1f1g 2f2g 1g1h 2g2h 1h1i 2h2i
9/9/1k1P5/3+P5/L8/9/9/9/9 b G2r2b3g4s4n3l16p 1 moves G*7d 8c8b 6d7c 8b8a 9e9b+ 8a9b 7d8c 9b9a 8c8b
9/1Bk1G4/l8/9/9/9/9/9/9 b G2rb2g4s4n3l18p 1 moves G*7c 7b8a 8b7a+ 8a7a 5b6b 7a8a 6b7b 8a9a 7b8b
9/6S2/7P1/8k/9/7L1/9/9/9 b G2r2b3g3s4n3l17p 1 moves G*2e 1d1c 2e2d 1c1b 2c2b+ 1b2b 2d2c 2b1a 2c2b
9/9/9/9/9/5+N3/6RB1/6sk1/6s1N b rb4g2s2n4l18p 1 moves 3g3h 2h2i S*1h 2i1i 3h3i 1i2h 3i3h 2h1i S*2h
9/9/9/9/9/+P1R6/s1G6/kS7/2+p6 b r2b3g2s4n4l16p 1 moves 9f9g 9h8h 7g8g 8h8i S*9h 8i9i 7f7i S*8i 7i8i
9/9/9/9/9/r8/1R7/k1B6/2+p6 b Gb3g4s4n4l17p 1 moves G*8h 9h9i 8h8i 7i8i 8g8i 9i9h P*9i 9h9g 8i8g
9/9/9/9/9/1B7/GB7/1ks6/2LR5 b r3g3s4n3l18p 1 moves 9g9h 8h8i 8g7h 8i9h S*8i 9h9i 8f7g P*8h 7g8h
9/9/9/9/9/9/6+B1+L/5G1g1/6Nk+n b 2rb2g4s2n3l18p 1 moves 3g2h 2i2h 1g2g 2h2i G*2h 2i3i 2h3h 3i2i 2g2h
6l2/6r1k/6G1N/7S1/9/9/9/9/9 b r2b3g3s3n3l18p 1 moves 2d2c+ 1b1a 1c2a+ 1a2a 3c3b 3a3b R*2b 2a3a 2b3b+
6Gn1/8k/6g1B/6LG1/9/9/9/9/9 b P2rbg4s3n3l17p 1 moves 1c2b+ 1b2b 3d3c+ 2a3c G*3b 2b1a 3a2a 1a1b 2a2b
9/9/2P6/kP7/9/+LR7/9/9/9 b r2b4g4s4n3l16p 1 moves 9f8e 9d9c 8d8c+ 9c8c 8e8d 8c9b 8d8c 9b9a 8c8b
9/9/9/9/9/9/7+Pp/7Rg/7Sk b Brb3g3s4n4l16p 1 moves 2h1h 1g1h+ B*2h 1h2h 2i2h 1i2i G*3i 2i1h 2g1g
9/9/9/9/9/6R1B/6+S2/7Sk/7+p1 b rb4g2s4n4l17p 1 moves 1f2g 1h2h 3g3h 2h1i 3f1f P*1g 1f1g P*1h 1g1h
9/9/9/9/9/9/1lS6/2R6/1k1G5 b Sr2b3g2s4n3l18p 1 moves 6i7i 8i9i S*8h 9i9h 7i8i 9h8i 7h7i 8i9h 7i9i
9/9/9/7R1/6+L1k/9/9/9/9 b r2b4g4s4n3l18p 1 moves 3e2e 1e1f 2e2f 1f1g 2f2g 1g1h 2g2h 1h1i 2h2i
9/9/9/9/9/9/GrS6/1rG6/kL7 b 2b2g3s4n3l18p 1 moves 7g8h 8g8h R*9h 8h9h 9g9h 9i9h 7h8h 9h9i R*9h
9/6+SS1/9/6G1k/9/6+NB1/9/9/9 b 2rb3g2s3n4l18p 1 moves 3d2d 1d2d 2f3e 2d2c 3b3c 2c1d 2b1c+ 1d1e 3f2f
9/9/9/2L6/k8/9/+NL7/9/9 b 2r2b4g4s3n2l18p 1 moves 9g8f 9e9d 8f8e 9d9c 8e8d 9c9b 8d8c 9b9a 8c8b
k1G6/2P6/1B+P6/9/9/9/9/9/9 b 2rb3g4s4n4l16p 1 moves 7a8a 9a8a 7b7a+ 8a9a 7a8a 9a8a 8c7b+ 8a9a 7c8b
+L8/2B6/kN7/s8/1R7/9/9/9/9 b rb4g3s3n3l18p 1 moves 9a9b 9c9b 8c9a+ 9b9c 9a9b 9c9b 7b8a+ 9b9c 8e8b+
1kgB5/P1P6/9/9/9/9/9/9/9 b 2rb3g4s4n4l16p 1 moves 7b7a+ 8a9b G*8c 9b9a 7a8a 9a8a 6a7b+ 8a9a 8c8b
